Date,total_bitcoins
2009-01-04,14383.561643835616
2009-01-11,67123.28767123287
2009-01-18,134246.57534246575
2009-01-25,201369.86301369863
2009-02-01,268493.1506849315
2009-02-08,335616.4383561644
2009-02-15,402739.72602739726
2009-02-22,469863.0136986301
2009-03-01,536986.301369863
2009-03-08,604109.5890410959
2009-03-15,671232.8767123288
2009-03-22,738356.1643835616
2009-03-29,805479.4520547945
2009-04-05,872602.7397260274
2009-04-12,939726.0273972602
2009-04-19,1006849.315068493
2009-04-26,1073972.602739726
2009-05-03,1141095.890410959
2009-05-10,1208219.1780821919
2009-05-17,1275342.4657534247
2009-05-24,1342465.7534246575
2009-05-31,1409589.0410958903
2009-06-07,1476712.3287671232
2009-06-14,1543835.616438356
2009-06-21,1610958.904109589
2009-06-28,1678082.191780822
2009-07-05,1745205.4794520547
2009-07-12,1812328.7671232875
2009-07-19,1879452.0547945204
2009-07-26,1946575.3424657532
2009-08-02,2013698.630136986
2009-08-09,2080821.917808219
2009-08-16,2147945.205479452
2009-08-23,2215068.493150685
2009-08-30,2282191.780821918
2009-09-06,2349315.0684931506
2009-09-13,2416438.3561643837
2009-09-20,2483561.6438356163
2009-09-27,2550684.9315068494
2009-10-04,2617808.219178082
2009-10-11,2684931.506849315
2009-10-18,2752054.794520548
2009-10-25,2819178.0821917807
2009-11-01,2886301.3698630137
2009-11-08,2953424.6575342463
2009-11-15,3020547.9452054794
2009-11-22,3087671.232876712
2009-11-29,3154794.520547945
2009-12-06,3221917.808219178
2009-12-13,3289041.0958904107
2009-12-20,3356164.383561644
2009-12-27,3423287.6712328764
2010-01-03,3490410.9589041094
2010-01-10,3557534.246575342
2010-01-17,3624657.534246575
2010-01-24,3691780.821917808
2010-01-31,3758904.1095890407
2010-02-07,3826027.397260274
2010-02-14,3893150.6849315064
2010-02-21,3960273.9726027395
2010-02-28,4027397.260273972
2010-03-07,4094520.547945205
2010-03-14,4161643.835616438
2010-03-21,4228767.123287671
2010-03-28,4295890.410958904
2010-04-04,4363013.698630136
2010-04-11,4430136.98630137
2010-04-18,4497260.273972603
2010-04-25,4564383.561643836
2010-05-02,4631506.849315068
2010-05-09,4698630.136986301
2010-05-16,4765753.424657534
2010-05-23,4832876.712328767
2010-05-30,4900000.0
2010-06-06,4967123.287671233
2010-06-13,5034246.575342466
2010-06-20,5101369.863013699
2010-06-27,5168493.150684931
2010-07-04,5235616.438356164
2010-07-11,5302739.726027397
2010-07-18,5369863.01369863
2010-07-25,5436986.301369863
2010-08-01,5504109.589041096
2010-08-08,5571232.876712329
2010-08-15,5638356.164383561
2010-08-22,5705479.452054794
2010-08-29,5772602.7397260275
2010-09-05,5839726.02739726
2010-09-12,5906849.315068493
2010-09-19,5973972.602739726
2010-09-26,6041095.890410959
2010-10-03,6108219.178082191
2010-10-10,6175342.465753424
2010-10-17,6242465.7534246575
2010-10-24,6309589.04109589
2010-10-31,6376712.328767123
2010-11-07,6443835.616438356
2010-11-14,6510958.904109589
2010-11-21,6578082.191780821
2010-11-28,6645205.479452054
2010-12-05,6712328.767123288
2010-12-12,6779452.05479452
2010-12-19,6846575.342465753
2010-12-26,6913698.630136986
2011-01-02,6980821.917808219
2011-01-09,7047945.205479451
2011-01-16,7115068.493150684
2011-01-23,7182191.780821918
2011-01-30,7249315.06849315
2011-02-06,7316438.356164383
2011-02-13,7383561.643835616
2011-02-20,7450684.931506849
2011-02-27,7517808.2191780815
2011-03-06,7584931.506849314
2011-03-13,7652054.794520548
2011-03-20,7719178.08219178
2011-03-27,7786301.369863013
2011-04-03,7853424.657534246
2011-04-10,7920547.945205479
2011-04-17,7987671.2328767115
