period,stateid,stateDescription,sectorid,sectorName,price,price-units
2022-01,MI,Michigan,COM,commercial,12.37,cents per kilowatt-hour
2022-01,MI,Michigan,IND,industrial,7.95,cents per kilowatt-hour
2022-01,MN,Minnesota,COM,commercial,11.12,cents per kilowatt-hour
2022-01,MN,Minnesota,IND,industrial,8.46,cents per kilowatt-hour
2022-01,MS,Mississippi,COM,commercial,11.03,cents per kilowatt-hour
2022-01,MS,Mississippi,IND,industrial,6.28,cents per kilowatt-hour
2022-01,MO,Missouri,COM,commercial,8.28,cents per kilowatt-hour
2022-01,MO,Missouri,IND,industrial,6.6,cents per kilowatt-hour
2022-01,AL,Alabama,COM,commercial,12.24,cents per kilowatt-hour
2022-01,AL,Alabama,IND,industrial,6.59,cents per kilowatt-hour
2022-01,AK,Alaska,COM,commercial,19.67,cents per kilowatt-hour
2022-01,AK,Alaska,IND,industrial,18.05,cents per kilowatt-hour
2022-01,AZ,Arizona,COM,commercial,10,cents per kilowatt-hour
2022-01,AZ,Arizona,IND,industrial,6.61,cents per kilowatt-hour
2024-07,ME,Maine,COM,commercial,17.23,cents per kilowatt-hour
2024-07,ME,Maine,IND,industrial,12.71,cents per kilowatt-hour
2024-07,MD,Maryland,COM,commercial,13.05,cents per kilowatt-hour
2024-07,MD,Maryland,IND,industrial,11.03,cents per kilowatt-hour
2024-07,MA,Massachusetts,COM,commercial,21.04,cents per kilowatt-hour
2024-07,MA,Massachusetts,IND,industrial,18.21,cents per kilowatt-hour
2024-07,MI,Michigan,COM,commercial,14.41,cents per kilowatt-hour
2024-07,MI,Michigan,IND,industrial,8.44,cents per kilowatt-hour
2024-07,MN,Minnesota,COM,commercial,13.25,cents per kilowatt-hour
2024-07,MN,Minnesota,IND,industrial,9.76,cents per kilowatt-hour
2024-07,MS,Mississippi,COM,commercial,11.76,cents per kilowatt-hour
2024-07,MS,Mississippi,IND,industrial,6.82,cents per kilowatt-hour
2024-07,MO,Missouri,COM,commercial,11.9,cents per kilowatt-hour
2024-07,MO,Missouri,IND,industrial,8.98,cents per kilowatt-hour
2024-07,MT,Montana,COM,commercial,12.26,cents per kilowatt-hour
2024-07,MT,Montana,IND,industrial,8.13,cents per kilowatt-hour
2024-07,NE,Nebraska,COM,commercial,9.21,cents per kilowatt-hour
2024-07,NE,Nebraska,IND,industrial,7.8,cents per kilowatt-hour
2024-07,NV,Nevada,COM,commercial,10.02,cents per kilowatt-hour
2024-07,NV,Nevada,IND,industrial,9.98,cents per kilowatt-hour
2024-07,NH,New Hampshire,COM,commercial,18.68,cents per kilowatt-hour
2024-07,NH,New Hampshire,IND,industrial,15.93,cents per kilowatt-hour
2024-07,NJ,New Jersey,COM,commercial,15.84,cents per kilowatt-hour
2024-07,NJ,New Jersey,IND,industrial,13.15,cents per kilowatt-hour
2024-07,NM,New Mexico,COM,commercial,11.92,cents per kilowatt-hour
2024-07,NM,New Mexico,IND,industrial,5.51,cents per kilowatt-hour
2024-07,NY,New York,COM,commercial,20.49,cents per kilowatt-hour
2024-07,NY,New York,IND,industrial,9.94,cents per kilowatt-hour
2024-07,NC,North Carolina,COM,commercial,10.32,cents per kilowatt-hour
2024-07,NC,North Carolina,IND,industrial,7.74,cents per kilowatt-hour
2024-07,ND,North Dakota,COM,commercial,7.53,cents per kilowatt-hour
2024-07,ND,North Dakota,IND,industrial,7.36,cents per kilowatt-hour
2024-07,OH,Ohio,COM,commercial,10.59,cents per kilowatt-hour
2024-07,OH,Ohio,IND,industrial,7.31,cents per kilowatt-hour
2024-07,OK,Oklahoma,COM,commercial,9.37,cents per kilowatt-hour
2024-07,OK,Oklahoma,IND,industrial,6.18,cents per kilowatt-hour
2023-03,ID,Idaho,COM,commercial,8.28,cents per kilowatt-hour
2023-03,ID,Idaho,IND,industrial,5.98,cents per kilowatt-hour
2023-03,IL,Illinois,COM,commercial,11.48,cents per kilowatt-hour
2023-03,IL,Illinois,IND,industrial,8.36,cents per kilowatt-hour
2023-03,IN,Indiana,COM,commercial,13.73,cents per kilowatt-hour
2023-03,IN,Indiana,IND,industrial,9.07,cents per kilowatt-hour
2023-03,IA,Iowa,COM,commercial,9.14,cents per kilowatt-hour
2023-03,IA,Iowa,IND,industrial,5.76,cents per kilowatt-hour
