Date,total_bitcoins
2009-01-04,3684.2105263157896
2009-01-11,36842.1052631579
2009-01-18,88421.05263157896
2009-01-25,140000.0
2009-02-01,191578.94736842107
2009-02-08,243157.8947368421
2009-02-15,294736.8421052632
2009-02-22,346315.7894736842
2009-03-01,397894.7368421053
2009-03-08,449473.68421052635
2009-03-15,501052.6315789474
2009-03-22,552631.5789473684
2009-03-29,604210.5263157896
2009-04-05,655789.4736842106
2009-04-12,707368.4210526316
2009-04-19,758947.3684210527
2009-04-26,810526.3157894736
2009-05-03,862105.2631578947
2009-05-10,913684.2105263158
2009-05-17,965263.1578947369
2009-05-24,1016842.1052631579
2009-05-31,1068421.0526315789
2009-06-07,1120000.0
2009-06-14,1171578.9473684211
2009-06-21,1223157.894736842
2009-06-28,1274736.8421052634
2009-07-05,1326315.7894736843
2009-07-12,1377894.7368421054
2009-07-19,1429473.6842105263
2009-07-26,1481052.6315789472
2009-08-02,1532631.5789473685
2009-08-09,1584210.5263157894
2009-08-16,1635789.4736842106
2009-08-23,1687368.4210526315
2009-08-30,1738947.3684210528
2009-09-06,1790526.315789474
2009-09-13,1842105.2631578948
2009-09-20,1893684.2105263157
2009-09-27,1945263.1578947369
2009-10-04,1996842.105263158
2009-10-11,2048421.052631579
2009-10-18,2100000.0
2009-10-25,2151578.947368421
2009-11-01,2203157.8947368423
2009-11-08,2254736.842105263
2009-11-15,2306315.789473684
2009-11-22,2357894.7368421056
2009-11-29,2409473.6842105263
2009-12-06,2461052.6315789474
2009-12-13,2512631.5789473685
2009-12-20,2564210.5263157897
2009-12-27,2615789.473684211
2010-01-03,2667368.4210526315
2010-01-10,2718947.3684210526
2010-01-17,2770526.3157894737
2010-01-24,2822105.2631578944
2010-01-31,2873684.210526316
2010-02-07,2925263.157894737
2010-02-14,2976842.105263158
2010-02-21,3028421.0526315793
2010-02-28,3080000.0
2010-03-07,3131578.947368421
2010-03-14,3183157.8947368423
2010-03-21,3234736.842105263
2010-03-28,3286315.789473684
2010-04-04,3337894.7368421056
2010-04-11,3389473.6842105268
2010-04-18,3441052.6315789474
2010-04-25,3492631.5789473685
2010-05-02,3544210.5263157897
2010-05-09,3595789.473684211
2010-05-16,3647368.4210526315
2010-05-23,3698947.3684210526
2010-05-30,3750526.3157894737
2010-06-06,3802105.2631578953
2010-06-13,3853684.210526316
2010-06-20,3905263.157894737
2010-06-27,3956842.105263158
2010-07-04,4008421.0526315793
2010-07-11,4060000.0
