Date,Block Reward,total_bitcoins,New BTC Mined,% of All BTC Mined
2009-01-03,50.0,0.0,0.0,0.00%
2012-11-28,25.0,10500000.0,10500000.0,50.00%
2016-06-09,12.5,15750000.0,5250000.0,75.00%
2020-05-11,6.25,18375000.0,2625000.0,87.50%
2024-04-20,3.125,19687500.0,1312500.0,93.75%
2028-06-01,1.5625,20343750.0,656250.0,96.88%
2032-06-01,0.78125,20671875.0,328125.0,98.44%
2036-06-01,0.390625,20835937.5,164062.5,99.22%
2040-06-01,0.1953125,20917968.75,82031.25,99.61%
2044-06-01,0.09765625,20958984.375,41015.625,99.80%
2048-06-01,0.048828125,20979492.1875,20507.8125,99.90%
2052-06-01,0.024414063,20989746.09375,10253.90625,99.95%
2056-06-01,0.012207031,20994873.046875,5126.953125,99.98%
2060-06-01,0.006103516,20997436.5234375,2563.4765625,99.99%
2064-06-01,0.003051758,20998718.26171875,1281.73828125,99.994%
2068-06-01,0.001525879,20999359.130859375,640.869140625,99.997%
2072-06-01,0.000762939,20999679.565429688,320.4345703125,99.998%
2076-06-01,0.00038147,20999839.782714844,160.21728515625,99.999%
2080-06-01,0.000190735,20999919.891357422,80.108642578125,99.9996%
2084-06-01,9.5367e-05,20999959.94567871,40.0543212890625,99.9998%
2088-06-01,4.7684e-05,20999979.972839355,20.02716064453125,99.9999%
2092-06-01,2.3842e-05,20999989.986419678,10.013580322265625,99.99995%
2096-06-01,1.1921e-05,20999994.99320984,5.0067901611328125,99.99998%
2100-06-01,5.96e-06,20999997.49660492,2.5033950805664062,99.99999%
2104-06-01,2.98e-06,20999998.74830246,1.2516975402832031,99.999994%
2108-06-01,1.49e-06,20999999.37415123,0.6258487701416016,99.999997%
2112-06-01,7.5e-07,20999999.687075615,0.3129243850708008,99.999999%
2116-06-01,3.7e-07,20999999.843537807,0.1564621925354004,99.9999993%
2120-06-01,1.9e-07,20999999.921768904,0.0782310962677002,99.9999996%
2124-06-01,9e-08,20999999.960884452,0.0391155481338501,99.9999998%
2128-06-01,5e-08,20999999.980442226,0.01955777406692505,99.9999999%
2132-06-01,2e-08,20999999.990221113,0.009778887033462524,99.99999995%
2136-06-01,1e-08,20999999.995110556,0.004889443516731262,99.99999998%
2140-06-01,1e-08,21000000.0,0.004889443516731262,100.00%
