,Power Consumption (Watt)
2009-01-25,27.947295964364418
2009-02-01,29.499814322802578
2009-02-08,29.473393793486338
2009-02-15,29.80391443819698
2009-02-22,30.256910757122615
2009-03-01,29.38767420732945
2009-03-08,28.364673999765444
2009-03-15,27.21597084522797
2009-03-22,26.587586976202925
2009-03-29,26.030839756793018
2009-04-05,26.356624531186483
2009-04-12,26.25452656563739
2009-04-19,25.93283296249799
2009-04-26,26.227990490385118
2009-05-03,26.05959700156597
2009-05-10,26.48248797892196
2009-05-17,26.048404951955387
2009-05-24,26.077184913280337
2009-05-31,24.545594749773286
2009-06-07,22.454316630984213
2009-06-14,19.31373842262064
2009-06-21,17.022845220663957
2009-06-28,16.389816338524383
2009-07-05,15.7864024689331
2009-07-12,17.121713610417054
2009-07-19,16.77529053509588
2009-07-26,15.450771844295831
2009-08-02,13.469828666133392
2009-08-09,11.02892856455671
2009-08-16,10.94960500721223
2009-08-23,9.776748717226086
2009-08-30,9.15998800396294
2009-09-06,11.039620451688165
2009-09-13,10.616607638475458
2009-09-20,12.284371639848102
2009-09-27,14.160821081498423
2009-10-04,14.881058872173309
2009-10-11,14.703162526525048
2009-10-18,14.466557511760788
2009-10-25,14.966946647758093
2009-11-01,14.114470218417054
2009-11-08,13.280437139168324
2009-11-15,13.197795326011635
2009-11-22,13.217627087598272
2009-11-29,13.78661886374001
2009-12-06,14.961599930698943
2009-12-13,15.891098171714955
2009-12-20,17.773382556069592
2009-12-27,21.920308631445167
2010-01-03,25.640326430386818
2010-01-10,29.921773323710983
2010-01-17,32.81853656716065
2010-01-24,32.32318134003492
2010-01-31,34.10433932032234
2010-02-07,37.56915856430355
2010-02-14,44.538849646341575
2010-02-21,54.87204062555062
2010-02-28,69.33375093731374
2010-03-07,85.20839273660818
2010-03-14,96.77358753184507
2010-03-21,103.82382405389099
2010-03-28,111.0569145612349
2010-04-04,120.19435604810121
2010-04-11,135.80470296650498
2010-04-18,166.94519489978546
2010-04-25,204.3957610816832
2010-05-02,240.86038209045972
2010-05-09,270.70888360627725
2010-05-16,282.4294764861413
2010-05-23,277.9809213920292
2010-05-30,294.755305150431
2010-06-06,316.3135578352785
2010-06-13,343.36761082745926
2010-06-20,380.7866111762429
2010-06-27,398.14178947611026
2010-07-04,424.84212630757366
2010-07-11,462.9446933279766
2010-07-18,718.2397846660035
2010-07-25,1913.9626320440059
2010-08-01,3179.059838549051
2010-08-08,4767.185878778944
2010-08-15,6456.300453119511
2010-08-22,7856.969295470157
2010-08-29,9617.931639986791
2010-09-05,11151.352758863559
2010-09-12,12222.28985710695
2010-09-19,13146.933517420874
2010-09-26,15064.366481309304
2010-10-03,17605.521775380636
2010-10-10,19709.031772632803
2010-10-17,21975.71921613348
2010-10-24,25894.391488317095
2010-10-31,31258.82492743536
2010-11-07,39258.78420857682
2010-11-14,51920.802115014914
2010-11-21,66449.49243157486
2010-11-28,79982.11580389444
2010-12-05,96219.29510998345
2010-12-12,117436.96325518125
2010-12-19,137686.82333882473
2010-12-26,158842.6514185885
2011-01-02,175691.0400503179
2011-01-09,185636.52905365088
2011-01-16,194290.0960108829
2011-01-23,206632.83127059447
2011-01-30,218927.91985753865
2011-02-06,231739.41961980387
2011-02-13,254198.67578115728
2011-02-20,283922.8000544771
2011-02-27,337725.1886795984
2011-03-06,431169.79611732624
2011-03-13,537856.914005592
2011-03-20,591578.1551458327
2011-03-27,622450.7526149396
2011-04-03,622198.3627153276
2011-04-10,611851.715421783
2011-04-17,650894.5200800203
2011-04-24,681688.2863073067
2011-05-01,720733.4999723651
2011-05-08,795746.232478407
2011-05-15,913128.7250281079
2011-05-22,1128687.860939173
2011-05-29,1586571.9011539514
2011-06-05,2119687.49474159
2011-06-12,2809886.1485915
2011-06-19,3745745.517650873
2011-06-26,4953951.458820568
2011-07-03,6232204.89048451
2011-07-10,7196230.7071541045
2011-07-17,7763000.8625103375
2011-07-24,7861445.737509092
2011-07-31,7839563.984084502
2011-08-07,7941054.940646395
2011-08-14,7862753.037126413
2011-08-21,7583204.735315462
2011-08-28,7239676.0665527
2011-09-04,6660910.456830214
2011-09-11,6295030.6861239895
2011-09-18,5955277.817587012
2011-09-25,5536067.568392816
2011-10-02,5241731.730562094
2011-10-09,4847511.761868334
2011-10-16,4428398.431633814
2011-10-23,3919921.2277024984
2011-10-30,3411689.6082062935
2011-11-06,2992173.334846782
2011-11-13,2686085.2868454857
2011-11-20,2507886.2956839674
2011-11-27,2344864.5803586063
2011-12-04,2179382.5951526123
2011-12-11,2041332.397974237
2011-12-18,1876172.9650142556
2011-12-25,1777414.1816268843
2012-01-01,1726402.2914272083
2012-01-08,1648155.9453984986
2012-01-15,1629290.5768570849
2012-01-22,1596685.3340946948
2012-01-29,1536582.9607768604
2012-02-05,1495632.408420817
2012-02-12,1428587.9212675714
2012-02-19,1370608.6657653484
2012-02-26,1327570.166579404
2012-03-04,1281954.5899676774
2012-03-11,1247679.3084077467
2012-03-18,1236961.1409876915
2012-03-25,1218094.0575510128
2012-04-01,1198932.7520326306
2012-04-08,1167719.7458374505
2012-04-15,1118674.0898163766
2012-04-22,1065587.3538298118
2012-04-29,1021263.4820853748
2012-05-06,1010179.4697256075
2012-05-13,1015599.9384356178
2012-05-20,1008812.0168081496
2012-05-27,978920.2328757257
2012-06-03,930852.1362997041
2012-06-10,884818.2216566114
2012-06-17,862700.1478656045
2012-06-24,853368.5404547285
2012-07-01,846968.3241914327
2012-07-08,826793.030839763
2012-07-15,819118.8662674316
2012-07-22,807774.6905610116
2012-07-29,808270.3991187456
2012-08-05,822049.4188619545
2012-08-12,825525.7202837485
2012-08-19,845080.8248853235
2012-08-26,862118.6080971739
2012-09-02,869727.3289388549
2012-09-09,884743.0501811507
2012-09-16,894072.3947392028
2012-09-23,903150.4133431832
2012-09-30,911193.6844430619
2012-10-07,905028.9179243902
2012-10-14,890155.2749310911
2012-10-21,870768.2275778595
2012-10-28,853603.6289646472
2012-11-04,848307.8177516374
2012-11-11,843705.6215957459
2012-11-18,827740.1477279637
2012-11-25,809024.9118588495
2012-12-02,793354.0277611752
2012-12-09,772419.0761393566
2012-12-16,739608.8270870263
2012-12-23,693859.9703160749
2012-12-30,648927.5252216537
2013-01-06,618397.9772001292
2013-01-13,602609.8341210737
2013-01-20,591200.2990168866
2013-01-27,576032.094980487
2013-02-03,560571.6732373224
2013-02-10,566062.2674814106
2013-02-17,578221.6097905792
2013-02-24,612580.5829756377
2013-03-03,656861.5393127095
2013-03-10,699111.1219929458
2013-03-17,743533.9109288476
2013-03-24,805901.1155710776
2013-03-31,909643.9056467123
2013-04-07,1022159.9944765519
2013-04-14,1149515.1416597161
2013-04-21,1247582.7466032323
2013-04-28,1313853.9430806513
2013-05-05,1372186.4072305737
2013-05-12,1428448.9629848483
2013-05-19,1496966.1100837004
2013-05-26,1527199.6312806974
2013-06-02,1613116.3153271284
2013-06-09,1780539.3049999173
2013-06-16,1961956.0292846872
2013-06-23,2177334.3779201386
2013-06-30,2360566.4636650095
2013-07-07,2493756.227576921
2013-07-14,2670076.974089889
2013-07-21,2890112.934520634
2013-07-28,3166703.2481813547
2013-08-04,3468755.8972108588
2013-08-11,3842080.800878591
2013-08-18,4402331.035390169
2013-08-25,5119682.260685184
2013-09-01,5928047.557342481
2013-09-08,6922320.180061663
2013-09-15,7944747.951774593
2013-09-22,9281589.098912686
2013-09-29,11024880.32004078
